股票名稱,代碼,產業
台積電,2330,半導體類
聯發科,2454,半導體類
鴻海,2317,其他電子類
台達電,2308,電子零組件類
聯電,2303,半導體類
廣達,2382,電腦及週邊設備類
富邦金,2881,金融保險類
中信金,2891,金融保險類
中華電,2412,通信網路類
兆豐金,2886,金融保險類
日月光投控,3711,半導體類
國泰金,2882,金融保險類
南亞,1303,塑膠類
玉山金,2884,金融保險類
統一,1216,食品類
中鋼,2002,鋼鐵類
元大金,2885,金融保險類
台塑,1301,塑膠類
第一金,2892,金融保險類
聯詠,3034,半導體類
合庫金,5880,金融保險類
智邦,2345,通信網路類
華碩,2357,電腦及週邊設備類
中租-KY,5871,其他類
緯創,3231,電腦及週邊設備類
大立光,3008,光電類
國巨,2327,電子零組件類
光寶科,2301,電腦及週邊設備類
和泰車,2207,汽車類
欣興,3037,電子零組件類
華南金,2880,金融保險類
台化,1326,塑膠類
台泥,1101,水泥類
台新金,2887,金融保險類
永豐金,2890,金融保險類
瑞昱,2379,半導體類
開發金,2883,金融保險類
亞德客-KY,1590,電機機械類
台灣大,3045,通信網路類
和碩,4938,電腦及週邊設備類
上海商銀,5876,金融保險類
研華,2395,電腦及週邊設備類
統一超,2912,貿易百貨類
緯穎,6669,電腦及週邊設備類
遠傳,4904,通信網路類
彰銀,2801,金融保險類
台塑化,6505,油電燃氣類
長榮,2603,航運類
豐泰,9910,其他類
南亞科,2408,半導體類
友達,2409,光電類
永豐金,2890,金融保險類
元大金,2885,金融保險類
中信金,2891,金融保險類
仁寶,2324,電腦及週邊設備類
遠東新,1402,紡織纖維類
亞泥,1102,水泥類
聯電,2303,半導體類
宏碁,2353,電腦及週邊設備類
華新,1605,電器電纜類
兆豐金,2886,金融保險類
正新,2105,橡膠類
英業達,2356,電腦及週邊設備類
大成鋼,2027,鋼鐵類
大聯大,3702,電子通路類
和碩,4938,電腦及週邊設備類
聯強,2347,電子通路類
興富發,2542,建材營造類
京元電子,2449,半導體類
南亞,1303,塑膠類
光寶科,2301,電腦及週邊設備類
京城銀,2809,金融保險類
鴻海,2317,其他電子類
日月光投控,3711,半導體類
台塑,1301,塑膠類
緯創,3231,電腦及週邊設備類
臻鼎-KY,4958,電子零組件類
潤泰全,2915,貿易百貨類
文曄,3036,電子通路類
群光,2385,電子零組件類
力成,6239,半導體類
東和鋼鐵,2006,鋼鐵類
遠雄,5522,建材營造類
微星,2377,電腦及週邊設備類
可成,2474,其他電子類
神基,3005,電腦及週邊設備類
健鼎,3044,電子零組件類
廣達,2382,電腦及週邊設備類
瑞儀,6176,光電類
啟碁,6285,通信網路類
中保科,9917,其他類
技嘉,2376,電腦及週邊設備類
華碩,2357,電腦及週邊設備類
