年度/季別,營業現金對流動負債比%,營業現金對負債比%,營業現金流對淨利比%,負債佔資產比%,長期資金佔固定資產比%,流動比%,速動比%,應收帳款收現(天),存貨週轉(天),營運週轉(天),單季ROE%,單季ROA%,毛利率%,營業利益率%,稅前淨利率%,稅後淨利率%,單季營業利益季增率%,近4季營業利益季增率%,季收盤價成長率y,每股盈餘,每股盈餘季增率,每股盈餘年增率,每股淨值,本益比(倍),股價淨值比(倍),代碼,股票名稱,產業
2023Q4,43.22,19.27,165.68,37.04,150.72,240.16,212.68,30.56,78.6,109.15,6.95,4.33,53.04,41.6,44.49,38.1,14.09,-6.57,,9.21,0.1314496314496314,-0.1928133216476774,133.38,16.163333333333334,4.493333333333333,2330,台積電,半導體類
2023Q3,30.37,13.95,139.78,38.5,144.11,214.68,187.66,34.06,89.32,123.39,6.41,3.96,54.26,41.71,44.25,38.56,12.93,-7.7,0.2689581211854932,8.14,0.1611982881597717,-0.2483841181902123,129.12,14.376666666666663,4.489999999999999,2330,台積電,半導體類
2023Q2,20.63,8.6,92.04,37.75,147.21,241.72,212.82,31.73,91.86,123.59,5.77,3.56,54.11,42.0,44.65,37.79,-12.66,-5.33,0.1256129349328024,7.01,-0.1215538847117795,-0.2330415754923414,122.97,13.873333333333337,4.656666666666666,2330,台積電,半導體類
2023Q1,44.12,19.73,186.15,38.7,147.27,228.58,203.83,33.57,88.57,122.14,6.84,4.13,56.33,45.46,48.03,40.69,-28.86,0.66,-0.0965261966309682,7.98,-0.3006134969325152,0.0204603580562658,118.7,13.966666666666669,4.71,2330,台積電,半導體類
2022Q4,51.56,24.29,164.55,40.37,149.25,217.42,193.99,35.46,83.68,119.13,10.36,6.16,62.22,51.96,53.5,47.3,4.74,14.53,0.0775862365300467,11.41,0.0535549399815327,0.7772585669781933,113.6,13.57,4.3133333333333335,2330,台積電,半導體類
2022Q3,51.11,21.82,146.88,40.73,159.07,249.46,222.42,35.49,80.82,116.31,10.68,6.25,60.43,50.61,51.65,45.82,18.39,16.59,0.1726127426669937,10.83,0.184901531728665,0.7960199004975124,105.59,17.180000000000003,5.11,2330,台積電,半導體類
2022Q2,40.09,18.46,142.87,42.23,155.7,225.48,199.76,36.69,85.93,122.62,9.82,5.69,59.06,49.07,49.8,44.4,17.13,16.1,0.0609033674628389,9.14,0.1687979539641944,0.7644787644787647,96.27,21.366666666666664,6.010000000000001,2330,台積電,半導體類
2022Q1,45.23,22.27,183.45,41.86,150.63,209.3,184.98,37.73,81.22,118.95,9.03,5.26,55.63,45.57,46.19,41.31,22.44,11.27,-0.1204125401954082,7.82,0.2180685358255452,0.4508348794063082,89.26,26.993333333333336,7.433333333333334,2330,台積電,半導體類
2021Q4,51.14,24.33,227.32,41.73,151.18,217.32,191.21,39.59,81.39,120.98,7.83,4.71,52.66,41.71,42.18,37.97,6.88,4.11,-0.2264992591611821,6.42,0.0646766169154229,0.1672727272727272,83.62,27.47,,2330,台積電,半導體類
2021Q3,48.61,25.42,203.67,37.63,146.36,209.06,181.26,39.66,78.64,118.29,7.69,4.87,51.3,41.24,41.93,37.74,17.39,3.47,-0.0297051544139158,6.03,0.1640926640926641,0.1377358490566038,80.06,27.896666666666665,,2330,台積電,半導體類
2021Q2,28.94,17.06,139.38,35.53,141.93,191.6,165.29,41.81,78.67,120.48,6.84,4.47,50.03,39.14,40.14,36.14,-3.24,2.47,0.0585941642660528,5.18,-0.0389610389610389,0.1115879828326178,76.81,29.07333333333333,,2330,台積電,半導體類
