預測成長率,股票名稱,產業,代碼
0.29635532268987297,威盛,半導體類,2388
0.14953811467158448,愛普*,半導體類,6531
0.12463890542235588,智邦,通信網路類,2345
0.12392193890032435,創意,半導體類,3443
0.1107528652510992,世芯-KY,半導體類,3661
0.06498569665474813,鴻海,其他電子類,2317
0.06459511049353373,技嘉,電腦及週邊設備類,2376
0.05615185245173894,緯穎,電腦及週邊設備類,6669
0.05294289287083715,億豐,其他類,8464
0.05291815242416554,微星,電腦及週邊設備類,2377
0.04173323854931549,台達電,電子零組件類,2308
0.04173323854931549,國巨,電子零組件類,2327
0.04173323854931549,欣興,電子零組件類,3037
0.04169524100541738,中砂,電機機械類,1560
0.026052349221191352,玉晶光,光電類,3406
