代碼,名稱,產業
1101,台泥,水泥類
1102,亞泥,水泥類
1103,嘉泥,水泥類
1104,環泥,水泥類
1108,幸福,水泥類
1109,信大,水泥類
1110,東泥,水泥類
1201,味全,食品類
1203,味王,食品類
1210,大成,食品類
1213,大飲,食品類
1215,卜蜂,食品類
1216,統一,食品類
1217,愛之味,食品類
1218,泰山,食品類
1219,福壽,食品類
1220,台榮,食品類
1225,福懋油,食品類
1227,佳格,食品類
1229,聯華,食品類
1231,聯華食,食品類
1232,大統益,食品類
1233,天仁,食品類
1234,黑松,食品類
1235,興泰,食品類
1236,宏亞,食品類
1256,鮮活果汁-KY,食品類
1702,南僑,食品類
1737,臺鹽,食品類
1301,台塑,塑膠類
1303,南亞,塑膠類
1304,台聚,塑膠類
1305,華夏,塑膠類
1307,三芳,塑膠類
1308,亞聚,塑膠類
1309,台達化,塑膠類
1310,台苯,塑膠類
1312,國喬,塑膠類
1313,聯成,塑膠類
1314,中石化,塑膠類
1315,達新,塑膠類
1321,大洋,塑膠類
1323,永裕,塑膠類
1324,地球,塑膠類
1325,恆大,塑膠類
1326,台化,塑膠類
1337,再生-KY,塑膠類
1340,勝悅-KY,塑膠類
1341,富林-KY,塑膠類
4306,炎洲,塑膠類
1402,遠東新,紡織纖維類
1409,新纖,紡織纖維類
1410,南染,紡織纖維類
1413,宏洲,紡織纖維類
1414,東和,紡織纖維類
1417,嘉裕,紡織纖維類
1418,東華,紡織纖維類
1419,新紡,紡織纖維類
1423,利華,紡織纖維類
1434,福懋,紡織纖維類
1439,雋揚,紡織纖維類
1440,南紡,紡織纖維類
1441,大東,紡織纖維類
1444,力麗,紡織纖維類
1445,大宇,紡織纖維類
1446,宏和,紡織纖維類
1447,力鵬,紡織纖維類
1449,佳和,紡織纖維類
1451,年興,紡織纖維類
1452,宏益,紡織纖維類
1454,台富,紡織纖維類
1455,集盛,紡織纖維類
1457,宜進,紡織纖維類
1459,聯發,紡織纖維類
1460,宏遠,紡織纖維類
1463,強盛,紡織纖維類
1464,得力,紡織纖維類
1465,偉全,紡織纖維類
1466,聚隆,紡織纖維類
1467,南緯,紡織纖維類
1468,昶和,紡織纖維類
1470,大統新創,紡織纖維類
1472,三洋實業,紡織纖維類
1473,台南,紡織纖維類
1474,弘裕,紡織纖維類
