年度/季別,營業現金對流動負債比%,營業現金對負債比%,營業現金流對淨利比%,負債佔資產比%,長期資金佔固定資產比%,流動比%,速動比%,應收帳款收現(天),存貨週轉(天),營運週轉(天),單季ROE%,單季ROA%,毛利率%,營業利益率%,稅前淨利率%,稅後淨利率%,單季營業利益季增率%,近4季營業利益季增率%,季收盤價成長率y,每股盈餘,每股盈餘季增率,每股盈餘年增率,每股淨值,本益比(倍),股價淨值比(倍),代碼,股票名稱,產業
2023Q3,30.37,13.95,139.78,38.5,144.11,214.68,187.66,34.06,89.32,123.39,6.41,3.96,54.26,41.71,44.25,38.56,12.93,-7.7,,8.14,0.16119828815977177,-0.24838411819021233,129.12,14.376666666666665,4.489999999999999,2330,台積電,半導體類
2023Q2,20.63,8.6,92.04,37.75,147.21,241.72,212.82,31.73,91.86,123.59,5.77,3.56,54.11,42,44.65,37.79,-12.66,-5.33,,7.01,-0.12155388471177953,-0.2330415754923414,122.97,13.873333333333335,4.656666666666666,2330,台積電,半導體類
2023Q1,44.12,19.73,186.15,38.7,147.27,228.58,203.83,33.57,88.57,122.14,6.84,4.13,56.33,45.46,48.03,40.69,-28.86,0.66,-0.018939960100921614,7.98,-0.30061349693251527,0.020460358056265893,118.70,13.966666666666667,4.71,2330,台積電,半導體類
2022Q4,51.56,24.29,164.55,40.37,149.25,217.42,193.99,35.46,83.68,119.13,10.36,6.16,62.22,51.96,53.5,47.3,4.74,14.53,0.2501989791970405,11.41,0.05355493998153271,0.7772585669781933,113.60,13.57,4.3133333333333335,2330,台積電,半導體類
2022Q3,51.11,21.82,146.88,40.73,159.07,249.46,222.42,35.49,80.82,116.31,10.68,6.25,60.43,50.61,51.65,45.82,18.39,16.59,0.23351611012983273,10.83,0.18490153172866508,0.7960199004975124,105.59,17.180000000000003,5.11,2330,台積電,半導體類
2022Q2,40.09,18.46,142.87,42.23,155.7,225.48,199.76,36.69,85.93,122.62,9.82,5.69,59.06,49.07,49.8,44.4,17.13,16.1,-0.05950917273256921,9.14,0.1687979539641944,0.7644787644787647,96.27,21.366666666666664,6.010000000000001,2330,台積電,半導體類
2022Q1,45.23,22.27,183.45,41.86,150.63,209.3,184.98,37.73,81.22,118.95,9.03,5.26,55.63,45.57,46.19,41.31,22.44,11.27,-0.3469117993565902,7.82,0.2180685358255452,0.4508348794063082,89.26,26.993333333333336,7.433333333333334,2330,台積電,半導體類
2021Q4,51.14,24.33,227.32,41.73,151.18,217.32,191.21,39.59,81.39,120.98,7.83,4.71,52.66,41.71,42.18,37.97,6.88,4.11,-0.25620441357509793,6.42,0.06467661691542292,0.16727272727272724,83.62,27.47,,2330,台積電,半導體類
2021Q3,48.61,25.42,203.67,37.63,146.36,209.06,181.26,39.66,78.64,118.29,7.69,4.87,51.3,41.24,41.93,37.74,17.39,3.47,0.02888900985213707,6.03,0.1640926640926641,0.13773584905660385,80.06,27.896666666666665,,2330,台積電,半導體類
2021Q2,28.94,17.06,139.38,35.53,141.93,191.6,165.29,41.81,78.67,120.48,6.84,4.47,50.03,39.14,40.14,36.14,-3.24,2.47,0.03306086226088821,5.18,-0.038961038961038974,0.11158798283261784,76.81,29.073333333333334,,2330,台積電,半導體類
2021Q1,34.43,23.29,163.03,33.51,136.11,172.26,148.9,38.93,76.09,115.02,7.37,4.92,52.38,41.54,42.79,38.56,-4.19,3.88,-0.011996716287631437,5.39,-0.020000000000000018,0.19512195121951215,74.77,30.313333333333333,,2330,台積電,半導體類
2020Q4,41.99,28.47,181.43,32.97,137.8,176.97,154.72,38.41,66.78,105.20,7.85,5.29,54,43.46,44.56,39.51,4.71,6.16,0.11568439899946231,5.5,0.037735849056603765,0.2276785714285714,71.33,,,2330,台積電,半導體類
2020Q3,32.33,22.44,138.43,32.15,136.09,175.04,156.43,39.41,52.96,92.37,7.83,5.4,53.45,42.1,43.52,38.54,14.46,8.57,0.30428709182560665,5.3,0.1373390557939913,0.35897435897435903,68.93,,,2330,台積電,半導體類
2020Q2,27.71,23.42,140.9,29.71,122.79,139.89,125.94,42.87,50.57,93.44,7.12,5.05,52.99,42.19,43.9,38.91,2,12.54,0.5266738160060143,4.66,0.03325942350332611,0.813229571984436,66.35,,,2330,台積電,半導體類
