Symbol,Name,Sector,Industry
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing
ABNB,Airbnb Inc. Class A Common Stock,Finance,Diversified Commercial Services
ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,Technology,Semiconductors
ADP,Automatic Data Processing Inc. Common Stock,Technology,EDP Services
ADSK,Autodesk Inc. Common Stock,Technology,Computer Software: Prepackaged Software
AEP,American Electric Power Company Inc. Common Stock,Utilities,Electric Utilities: Central
AKAM,Akamai Technologies Inc. Common Stock,Consumer Discretionary,Business Services
ALGN,Align Technology Inc. Common Stock,Health Care,Industrial Specialties
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors
AMGN,Amgen Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
ANSS,ANSYS Inc. Common Stock,,
APA,APA Corporation Common Stock,Energy,Oil & Gas Production
APP,Applovin Corporation Class A Common Stock,Technology,Computer Software: Programming Data Processing
ARCC,Ares Capital Corporation Common Stock,Finance,Finance: Consumer Services
ARGX,argenx SE American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARM,Arm Holdings plc American Depositary Shares,Technology,Semiconductors
ASML,ASML Holding N.V. New York Registry Shares,Technology,Industrial Machinery/Components
AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors
AXON,Axon Enterprise Inc. Common Stock,Industrials,Ordnance And Accessories
AZN,AstraZeneca PLC American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
AZPN,Aspen Technology Inc. Common Stock,Technology,EDP Services
BIDU,Baidu Inc. ADS,Technology,Computer Software: Programming Data Processing
BIIB,Biogen Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,Transportation Services
BKR,Baker Hughes Company Class A Common Stock,Industrials,Metal Fabrications
BMRN,BioMarin Pharmaceutical Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BNTX,BioNTech SE American Depositary Share,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BSY,Bentley Systems Incorporated Class B Common Stock,Technology,Computer Software: Prepackaged Software
CASY,Casey's General Stores Inc. Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,Consumer Staples,Beverages (Production/Distribution)
CDNS,Cadence Design Systems Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
CEG,Constellation Energy Corporation Common Stock ,Utilities,Electric Utilities: Central
CELH,Celsius Holdings Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution)
CG,The Carlyle Group Inc. Common Stock,Finance,Investment Managers
CHDN,Churchill Downs Incorporated Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
CHK,Chesapeake Energy Corporation Common Stock,Energy,Oil & Gas Production
CHRW,C.H. Robinson Worldwide Inc. Common Stock,Consumer Discretionary,Oil Refining/Marketing
CHTR,Charter Communications Inc. Class A Common Stock New,Telecommunications,Cable & Other Pay Television Services
CINF,Cincinnati Financial Corporation Common Stock,Finance,Property-Casualty Insurers
